DATE,temperatuur,RH
01-01-2011 01:00:00,3.6,99
01-01-2011 02:00:00,3.6,99
01-01-2011 03:00:00,3.9,99
01-01-2011 04:00:00,4.2,97
01-01-2011 05:00:00,4.2,97
01-01-2011 06:00:00,4.1,97
01-01-2011 07:00:00,4.1,97
01-01-2011 08:00:00,4.4,99
01-01-2011 09:00:00,4.7,99
01-01-2011 10:00:00,5,99
01-01-2011 11:00:00,5.8,97
01-01-2011 12:00:00,5.6,88
01-01-2011 13:00:00,5.3,80
01-01-2011 14:00:00,5.6,75
01-01-2011 15:00:00,4.8,82
01-01-2011 16:00:00,4.1,81
01-01-2011 17:00:00,3,87
01-01-2011 18:00:00,2,92
01-01-2011 19:00:00,0.5,98
01-01-2011 20:00:00,-0.1,98
01-01-2011 21:00:00,0.5,96
01-01-2011 22:00:00,1.6,92
01-01-2011 23:00:00,1.5,92
01-01-2011 00:00:00,1.8,90
02-01-2011 01:00:00,1.9,87
02-01-2011 02:00:00,1.3,90
02-01-2011 03:00:00,1.7,84
02-01-2011 04:00:00,2.3,83
02-01-2011 05:00:00,1.9,87
02-01-2011 06:00:00,1.9,89
02-01-2011 07:00:00,1.4,94
02-01-2011 08:00:00,0.2,99
02-01-2011 09:00:00,1.6,96
02-01-2011 10:00:00,3.1,89
02-01-2011 11:00:00,4.1,81
02-01-2011 12:00:00,4.5,79
02-01-2011 13:00:00,5.3,73
02-01-2011 14:00:00,4.3,76
02-01-2011 15:00:00,3.7,79
02-01-2011 16:00:00,2.6,84
02-01-2011 17:00:00,2,88
02-01-2011 18:00:00,2.1,90
02-01-2011 19:00:00,2.5,84
02-01-2011 20:00:00,2.4,85
02-01-2011 21:00:00,2.1,88
02-01-2011 22:00:00,1.4,90
02-01-2011 23:00:00,0.1,96
02-01-2011 00:00:00,0.7,92
03-01-2011 01:00:00,0.4,96
03-01-2011 02:00:00,0.2,95
03-01-2011 03:00:00,-0.3,98
03-01-2011 04:00:00,-3.3,97
03-01-2011 05:00:00,-3.5,98
03-01-2011 06:00:00,-2.4,99
03-01-2011 07:00:00,-2.6,98
03-01-2011 08:00:00,-3.1,99
03-01-2011 09:00:00,0.2,99
03-01-2011 10:00:00,2.1,88
03-01-2011 11:00:00,3.3,81
03-01-2011 12:00:00,2.7,85
03-01-2011 13:00:00,3.2,84
03-01-2011 14:00:00,2.8,87
03-01-2011 15:00:00,2.6,89
03-01-2011 16:00:00,2.3,91
03-01-2011 17:00:00,2.1,93
03-01-2011 18:00:00,1.8,92
03-01-2011 19:00:00,1.5,94
03-01-2011 20:00:00,1.4,94
03-01-2011 21:00:00,0.8,96
