DATE,temperatuur,RH,wind_snelheid,zon_j_cm2
1-1-2011 01:00,3.6,99,3,0
1-1-2011 02:00,3.6,99,3,0
1-1-2011 03:00,3.9,99,3,0
1-1-2011 04:00,4.2,97,3,0
1-1-2011 05:00,4.2,97,3,0
1-1-2011 06:00,4.1,97,3,0
1-1-2011 07:00,4.1,97,3,0
1-1-2011 08:00,4.4,99,3,0
1-1-2011 09:00,4.7,99,3,3
1-1-2011 10:00,0.5,99,3,8
1-1-2011 11:00,5.8,97,2,34
1-1-2011 12:00,5.6,88,2,36
1-1-2011 13:00,5.3,80,3,44
1-1-2011 14:00,5.6,75,3,46
1-1-2011 15:00,4.8,82,3,13
1-1-2011 16:00,4.1,81,2,3
1-1-2011 17:00,0.3,87,3,0
1-1-2011 18:00,0.2,92,2,0
1-1-2011 19:00,0.5,98,2,0
1-1-2011 20:00,-0.1,98,2,0
1-1-2011 21:00,0.5,96,2,0
1-1-2011 22:00,1.6,92,2,0
1-1-2011 23:00,1.5,92,2,0
1-1-2011 00:00,1.8,90,2,0
2-1-2011 01:00,1.9,87,2,0
2-1-2011 02:00,1.3,90,2,0
2-1-2011 03:00,1.7,84,2,0
2-1-2011 04:00,2.3,83,2,0
2-1-2011 05:00,1.9,87,2,0
2-1-2011 06:00,1.9,89,2,0
2-1-2011 07:00,1.4,94,2,0
2-1-2011 08:00,0.2,99,2,1
2-1-2011 09:00,1.6,96,2,13
2-1-2011 10:00,3.1,89,2,49
2-1-2011 11:00,4.1,81,2,66
2-1-2011 12:00,4.5,79,3,80
2-1-2011 13:00,5.3,73,3,81
2-1-2011 14:00,4.3,76,4,42
2-1-2011 15:00,3.7,79,3,23
2-1-2011 16:00,2.6,84,2,2
2-1-2011 17:00,0.2,88,2,0
2-1-2011 18:00,2.1,90,2,0
2-1-2011 19:00,2.5,84,2,0
2-1-2011 20:00,2.4,85,2,0
2-1-2011 21:00,2.1,88,2,0
2-1-2011 22:00,1.4,90,2,0
2-1-2011 23:00,0.1,96,2,0
2-1-2011 00:00,0.7,92,2,0
3-1-2011 01:00,0.4,96,2,0
3-1-2011 02:00,0.2,95,2,0
3-1-2011 03:00,-0.3,98,2,0
3-1-2011 04:00,-3.3,97,1,0
3-1-2011 05:00,-3.5,98,2,0
3-1-2011 06:00,-2.4,99,1,0
3-1-2011 07:00,-2.6,98,1,0
3-1-2011 08:00,-3.1,99,2,0
3-1-2011 09:00,0.2,99,1,17
3-1-2011 10:00,2.1,88,2,48
3-1-2011 11:00,3.3,81,2,63
3-1-2011 12:00,2.7,85,2,52
3-1-2011 13:00,3.2,84,1,39
3-1-2011 14:00,2.8,87,2,24
3-1-2011 15:00,2.6,89,2,12
3-1-2011 16:00,2.3,91,2,2
3-1-2011 17:00,2.1,93,2,0
3-1-2011 18:00,1.8,92,2,0
3-1-2011 19:00,1.5,94,2,0
3-1-2011 20:00,1.4,94,2,0
3-1-2011 21:00,0.8,96,3,0
3-1-2011 22:00,0.9,98,3,0
3-1-2011 23:00,1.1,96,3,0
3-1-2011 00:00,1.4,89,3,0
4-1-2011 01:00,0.1,92,3,0
4-1-2011 02:00,0.6,96,3,0
4-1-2011 03:00,0.7,96,3,0
4-1-2011 04:00,0.7,95,3,0
4-1-2011 05:00,0.6,94,3,0
4-1-2011 06:00,0.8,89,4,0
4-1-2011 07:00,0.1,88,4,0
4-1-2011 08:00,0.9,86,4,0
4-1-2011 09:00,0.8,85,5,2
4-1-2011 10:00,0.9,83,4,17
4-1-2011 11:00,1.8,76,5,71
4-1-2011 12:00,2.1,76,5,67
4-1-2011 13:00,2.2,74,5,67
4-1-2011 14:00,0.2,73,5,53
4-1-2011 15:00,1.5,77,5,17
4-1-2011 16:00,1.3,77,5,2
4-1-2011 17:00,0.1,80,5,0
4-1-2011 18:00,0.6,79,4,0
4-1-2011 19:00,0.6,78,5,0
4-1-2011 20:00,0.4,78,5,0
4-1-2011 21:00,0.2,80,5,0
4-1-2011 22:00,0,81,5,0
4-1-2011 23:00,-0.1,80,5,0
4-1-2011 00:00,-0.1,79,5,0
5-1-2011 01:00,-0.6,79,5,0
5-1-2011 02:00,-0.9,78,5,0
5-1-2011 03:00,-0.9,76,5,0
5-1-2011 04:00,-1.4,78,5,0
5-1-2011 05:00,-1.5,78,4,0
5-1-2011 06:00,-1.2,78,4,0
5-1-2011 07:00,-0.7,76,5,0
5-1-2011 08:00,-0.6,77,5,0
5-1-2011 09:00,-0.6,76,5,6
5-1-2011 10:00,-0.3,75,6,30
5-1-2011 11:00,0.1,73,6,65
5-1-2011 12:00,0.7,72,6,78
5-1-2011 13:00,1.1,69,6,76
5-1-2011 14:00,1.5,68,5,56
5-1-2011 15:00,0.4,72,5,26
5-1-2011 16:00,-0.1,73,5,2
5-1-2011 17:00,-0.2,72,6,0
5-1-2011 18:00,0,74,6,0
5-1-2011 19:00,0.2,74,6,0
5-1-2011 20:00,0.1,83,6,0
5-1-2011 21:00,1.7,83,5,0
5-1-2011 22:00,3.3,84,5,0
5-1-2011 23:00,3.2,91,6,0
5-1-2011 00:00,3.3,95,5,0
6-1-2011 01:00,3.9,93,5,0
6-1-2011 02:00,3.8,96,4,0
6-1-2011 03:00,3.8,99,4,0
6-1-2011 04:00,0.4,99,4,0
6-1-2011 05:00,4.3,99,3,0
6-1-2011 06:00,4.5,99,4,0
6-1-2011 07:00,4.6,99,4,0
6-1-2011 08:00,4.7,99,3,0
6-1-2011 09:00,4.8,99,3,3
6-1-2011 10:00,4.9,99,3,8
6-1-2011 11:00,4.9,99,2,9
6-1-2011 12:00,0.5,99,2,10
6-1-2011 13:00,0.5,99,2,11
